id,category,campaign_id,old_question,new_question,expected_answer,old_answer,new_answer,old_evaluation,old_reason,response_time,status,error
11,市级家电/省级家电,JN_APPLIANCE_2025/SD_APPLIANCE_2025,济南市家电以旧换新补贴活动，2024年已经享受过补贴的消费者，2025年还能继续享受吗？,2024年享受过家电以旧换新补贴的消费者，2025年还可以继续申请吗？,可以继续享受。2024年和2025年是独立的补贴年度,"根据当前信息，济南市2025年家电以旧换新补贴活动正在实施中，有效期至2025年12月31日，当前时间为2025年12月18日，政策仍在有效期内。2024年已享受过补贴的消费者，在符合条件下仍可参与2025年的补贴活动，但需注意每类家电限购1台，且需满足能效等级要求（原则上为2级及以上，1级能效产品额外享受5%补贴）。

申请可通过“泉城购APP”（市级平台）或“山东政务服务网”（省级平台）提交，需准备身份证明、旧机回收凭证、购买新机的发票以及本人银行账户信息。审核流程包括系统初审、第三方机构复审，并在通过后公示5个工作日。补贴金额单台最高不超过2000元，具体档位及是否分轮次发放尚未明确，建议尽快办理以免错过时限。","根据当前政策安排，2024年已享受过家电以旧换新补贴的消费者，在符合条件下仍可于2025年再次申请。山东省及济南市同步实施的2025年家电以旧换新政策活动有效期为2025年1月20日至2025年12月31日，当前时间为2025年12月18日，政策仍在有效期内。每类家电限购一台，单人累计补贴上限为2000元，具体金额根据所购产品能效等级确定，其中2级及以上能效产品可享受补贴，1级能效额外再补贴5%。

申请时需准备身份证明、旧机回收凭证、购买新家电的发票以及本人银行账户信息，并通过“泉城购APP”（市级渠道）或“山东政务服务网”（省级渠道）提交申请。审核流程包括系统初审、第三方机构复审，经公示5个工作日无异议后，补贴将发放至申请人银行账户。建议在政策截止前尽早完成申报，确保顺利领取补贴。",错误,优化后关键词覆盖率低 (0%),12.521271,success,
18,市级数码/省级数码,JN_DIGITAL_2025/SD_DIGITAL_2025,济南市2025年数码产品购新补贴活动，手机和平板需要现场激活吗？如何激活？,济南市数码产品购新补贴活动，购买手机或平板后需要如何激活才能申请补贴？,需要现场激活。手机需现场插入SIM卡，平板需连接WiFi,"根据目前可查的政策信息，济南市2025年针对手机、平板等数码产品的购新补贴活动确有相关文件支持，涉及多个部门发布的实施方案和细则，包括《山东省手机、平板、智能手表（手环）购新补贴实施细则》以及济南市商务局发布的多项补贴活动公告。这些政策在当前时间（2025年12月18日）仍处于有效状态。

关于手机和平板是否需要现场激活的问题，现有政策文件中未明确要求必须“现场激活”，但通常此类补贴活动会要求设备在购买后完成首次开机使用并绑定个人信息，以确保为全新产品。具体的激活方式一般为正常开机设置设备，登录品牌官方账号或完成系统注册即可，无需特殊操作。实际执行细节建议以销售商家或平台在申领补贴时的具体要求为准。

补贴申请渠道包括线上电商平台和线下参与门店，消费者需通过指定平台提交购买凭证、身份证明及产品信息等材料进行申报。由于各文件中未明确补贴金额或档位，具体补贴标准尚未明确，建议关注济南市商务局或合作平台发布的最新操作指南以获取准确流程指引。","根据目前可查信息，济南市2025年针对手机、平板等数码产品开展了购新补贴活动，相关政策文件由济南市商务局等部门发布，包括《济南市2025年手机、平板、智能手表（手环）购新补贴活动公告》及线上3C产品购新补贴相关通知。该类活动在当前时间（2025年12月18日）仍处于有效状态。

购买符合条件的手机或平板后，申请补贴通常需通过指定渠道进行登记和核销，可能涉及线上电商平台或线下零售企业作为承办单位。消费者需保留完整的购物凭证，如发票、付款记录、产品序列号等，并按要求在指定平台上传个人信息和商品信息完成申报。具体申请流程和所需材料以官方发布的实施细则为准，建议关注“济南市商务局”官网或合作电商平台公告获取操作指引。

需要注意的是，补贴的具体金额标准、档位设置及申领截止时间在现有信息中尚未明确，建议及时查阅山东省或济南市商务部门最新发布的政策细则以获取准确信息。",错误,优化后关键词覆盖率低 (33%),12.921607,success,
19,市级数码/省级数码,JN_DIGITAL_2025/SD_DIGITAL_2025,济南市2025年数码产品购新补贴活动，智能手表和手环如何进行现场激活？,购买智能手表或手环后，如何激活才能申领数码产品补贴？,需要现场与适配的应用程序（APP）连接激活,"截至2025年12月18日，济南市正在实施针对手机、平板、智能手表和手环的购新补贴活动，相关政策文件包括《济南市2025年手机、平板、智能手表（手环）购新补贴活动公告》及《山东省手机、平板、智能手表（手环）购新补贴实施细则》等，目前状态为有效。本次活动覆盖线下门店购买行为，消费者在参与活动的商家购置符合条件的智能手表或手环后，需在现场通过指定方式完成产品激活和补贴申领操作。

现场激活通常由销售商家协助完成，用户需提供本人身份证件、新购产品的发票以及实名绑定的手机号码等信息，系统将自动核验资格并发放补贴。具体补贴金额尚未明确公布，可能根据产品类别或价格档位设定不同标准。建议消费者在购买前向门店工作人员确认是否支持补贴申领及所需材料清单，确保流程顺利。所有申领操作均需通过政府授权平台实时上传数据，以保障补贴及时到账。","根据当前信息，山东省及济南市在2025年出台了多项关于消费品购新补贴的政策，其中包括智能手表、手环等3C产品的购置补贴。相关政策文件由山东省发展和改革委员会、山东省商务厅以及济南市商务局等部门联合发布，目前状态为有效。虽然具体补贴金额和申领档位尚未明确，但已知活动覆盖线上及线下渠道，并通过电商平台和本地商家协同推进。

要申领智能手表或手环的购新补贴，您需关注济南市或山东省官方发布的具体活动公告，通常需通过指定的电商平台或参与商户购买符合条件的产品。申领时可能需要提供个人身份信息、购机发票、产品序列号等材料，具体以实际申报平台要求为准。建议及时查看“济南市商务局”或“山东省商务厅”官方网站、微信公众号等渠道发布的实施细则和操作指南，获取最新申领入口与流程说明。

由于当前时间为2025年12月18日，部分阶段性活动可能存在时间限制，请尽快核实是否仍在申报期内，以免错过补贴机会。",错误,优化后关键词覆盖率低 (0%),13.867809,success,
27,市级汽车首保,JN_CAR_FIRSTMAINT_2025,济南市2025年新车首保消费券活动，购买7000元的车辆商业保险，能获得多少补贴？,济南市新车首保消费券活动，车辆商业保险7000元可以获得多少补贴？属于哪个档位？,2000元。保险金额6000-8000元区间可获得2000元补贴,"根据当前信息，济南市2025年新车首保消费券活动并未对购买7000元车辆商业保险提供补贴。由于您的保险消费金额未达到政策设定的补贴价格区间，因此本次无法获得补贴。

申请该类补贴需完成实名认证，每类车型限购1台，所需材料包括身份证、机动车销售统一发票、机动车商业保险保险单、机动车登记证书、银行卡及手机号。符合条件的用户可通过扫描二维码或下载指定APP进行申领。需要注意的是，若当前时间已超过政策有效期或政策状态为“已失效”，则相关活动已截止，具体以官方公告为准。","根据您提供的信息，济南市新车首保消费券活动对车辆商业保险金额设置了补贴价格区间，而您的商业保险费用为7000元，未达到该活动规定的补贴标准，因此无法获得补贴。本次活动每类车型限购1台，申请需完成实名认证。

申请时需准备身份证、机动车销售统一发票、机动车商业保险保险单、机动车登记证书、银行卡及手机号等材料，通过扫描二维码或下载指定APP进行申领。由于当前时间已超过政策有效期，该活动现已截止，不再接受申请。具体档位划分和补贴金额在现有信息中尚未明确，建议关注济南市相关部门后续发布的最新通知以获取准确资讯。",错误,"优化后金额错误: 期望2000元, 实际7000元",10.477496,success,
31,市级汽车下半年,JN_CAR_LOWER_2025,济南市2025年下半年汽车补贴政策，购买一辆发票不含税价18万元的新车，能获得多少补贴？包含哪些内容？,济南市下半年汽车补贴活动，购买发票不含税价18万元的新车，补贴总额是多少？分为哪几部分？,补贴总额4800元，包含：加油储值卡3300元 + 保险补贴1500元,"根据济南市2025年下半年汽车补贴政策，购买发票不含税价为18万元的新车，您可获得4000元的汽车补贴。该补贴为一次性发放，每类车型限购1台享受，且需实名认证后申领。

申请时需准备身份证、机动车销售统一发票、行驶证、机动车登记证书、本人银行卡及手机号等材料。您可通过微信扫码或登录齐鲁银行权益平台进行线上申报，按指引提交相关资料即可完成申请。请确保信息真实有效，以便顺利领取补贴。

需要注意的是，当前时间为2025年7月，该政策在2025年下半年实施期间内，符合条件的购车者应在规定时间内完成申报，逾期可能影响补贴发放。具体执行以官方公告为准。","根据您提供的信息，济南市在2025年下半年曾开展汽车消费补贴活动，具体时间为2025年7月1日至9月30日，该活动已截止。此次活动为市级第三轮汽车消费补贴，通过工银e生活APP或指定二维码进行申报，但补贴金额、具体分档标准及是否包含发票不含税价18万元车型的补贴额度等信息尚未明确。

该阶段补贴审核流程包括系统初审、第三方机构复审、按提交顺序审核、进度查询及公示5个工作日。由于当前时间为2025年12月18日，相关活动均已处于“已失效”状态，不再接受申请。关于2025年其他时段的汽车补贴，如上半年及新车首保消费券等活动也均已在6月底前结束，具体补贴细则和发放情况需以官方后续公告为准。建议关注济南市商务局或发改委发布的最新政策通知，获取下一轮可能启动的补贴信息。",错误,"优化后金额错误: 期望4800元, 实际4000元",13.179146,success,
36,市级汽车下半年,JN_CAR_LOWER_2025,济南市2025年下半年汽车补贴活动，购买发票不含税价40万元以上的车辆，补贴总额是多少？如何构成？,下半年汽车补贴，发票不含税价40万元以上的车辆最高可获得多少补贴？包含哪些部分？,最高补贴8500元，包含：加油储值卡5500元 + 保险补贴3000元,"济南市2025年下半年的汽车消费补贴活动已于2025年7月1日至9月30日期间实施，该轮活动共分为三轮，通过工银e生活APP或指定二维码进行申报，但具体补贴金额及针对发票不含税价40万元以上车辆的补贴构成目前尚未明确。此前上半年的市级汽车消费补贴活动（含追加）以及5-6月的新车首保消费券活动均已结束，相关补贴标准也未在现有信息中披露。

目前虽有多个政策文件提及2025年济南市汽车报废更新、置换更新及政府消费补贴活动，如《2025年济南市汽车置换更新补贴实施细则》等，但其具体补贴额度、适用条件和申请流程均未公开明确。结合当前时间为2025年12月18日，上述所有已开展的补贴活动均已截止，属于历史活动，不再接受申请。建议关注济南市商务局、发改委等官方渠道后续发布的最新通知，以获取下一阶段可能出台的汽车消费支持政策。","根据您提供的信息，济南市在2025年下半年曾开展市级汽车消费补贴活动（第三轮），时间为2025年7月1日至9月30日，针对发票不含税价40万元以上的车辆，但具体补贴金额和构成部分在现有资料中尚未明确。该活动已随有效期结束而截止，目前无法申请。

此前济南市还实施过上半年补贴活动（2025年1月25日至3月31日）及新车首保消费补贴（2025年5月1日至6月30日），均已于当前时间（2025年12月18日）前结束。相关申请渠道包括工银e生活APP、指定二维码、微信扫码及齐鲁银行权益平台等，审核流程一般为系统初审、第三方复审、公示等环节。由于后续政策尚未显示更新或延续情况，建议关注济南市商务局或发改委官方公告获取最新动态。",错误,优化后关键词覆盖率低 (0%),11.26425,success,
38,市级零售餐饮,JN_RETAIL_CATERING_2025,济南市2025年零售餐饮消费券活动，消费券是每个月都发放吗？共发几轮？,济南市零售餐饮消费券一共发放几轮？发放时间是每月一轮吗？,共5轮。从7月到11月每月发放一轮,"根据现有信息，济南市在2025年曾开展零售餐饮消费券发放活动，时间为2025年7月19日至11月15日，该活动目前已结束。此次消费券通过抖音APP发放，面额为“满100减20元”，主要面向济南市范围内的零售和餐饮消费场景。由于当前时间为2025年12月18日，已超过原定活动周期，因此该轮消费券发放活动属于历史活动，不再继续实施。

关于是否每月发放或多轮次安排，目前信息仅显示这一轮集中发放时段，未明确提及每月定期发放或其他轮次的具体时间安排。申请渠道为抖音APP，但具体申领流程需满足实时监测要求，存在对恶意套取行为的监管机制，如发现违规将取消资格或追回权益。其他相关政策文件虽提及促进消费、支持餐饮和零售发展的方向，但尚未明确新的消费券发放计划、金额档位或申请材料要求。

建议关注济南市商务局或市政府官方平台后续公告，以获取新一轮可能的消费促进活动信息。","根据现有信息，济南市在2025年开展了零售和餐饮消费券发放活动，该活动有效期为2025年7月19日至11月15日，目前已截止。此次活动通过抖音APP发放，采用“满100减20元”的补贴形式，面向济南市辖区居民。由于当前时间为2025年12月18日，已超过政策有效期，因此该轮消费券发放活动属于历史活动，不再处于实施阶段。

关于消费券是否每月一轮、共发放几轮的问题，现有资料未明确说明具体轮次安排及发放频率，也未提及申请所需材料和详细审核流程，相关信息尚未明确。建议关注济南市商务局或市政府官方平台后续发布的公告，以获取最新促消费活动安排。",错误,优化后关键词覆盖率低 (0%),9.563515,success,
40,市级零售餐饮,JN_RETAIL_CATERING_2025,济南市2025年餐饮消费券活动，在餐饮类商家消费300元，能抵扣多少钱？,济南市餐饮消费券，在餐饮店消费300元可以抵扣多少？抵扣规则是什么？,可抵扣75元。规则：满100减25元，消费300元可使用3张,"根据现有信息，济南市在2025年曾开展过零售餐饮消费券发放活动，其中市级活动时间为2025年7月19日至11月15日，通过抖音APP发放，优惠规则为“满100减20元”。若消费者在餐饮类商家消费300元，理论上可享受相应抵扣，按此标准最多可减免60元（即每满100元减20元，最多抵扣3次）。但由于当前时间为2025年12月18日，该消费券活动已超过有效期，属于已失效状态，因此目前无法申领或使用。

尽管有多项政策提及2025年济南市促进消费的相关举措，如“泉城购”消费券、“泉城消费提升行动”等，但除上述明确时间与补贴标准的活动外，其余政策文件中关于餐饮消费券的具体金额、申领渠道和实施流程等信息尚未明确。建议关注济南市商务局或市政府官方平台后续是否发布新一轮消费促进活动。","根据您提供的信息，济南市曾在2025年7月19日至11月15日期间开展市级零售餐饮消费券发放活动，消费满100元可减20元，消费者可通过抖音APP领取并使用。该活动已随当前时间（2025年12月18日）超过有效期而停止实施，目前暂无其他明确有效的餐饮消费券抵扣规则公布。

关于在餐饮店消费300元可抵扣多少的问题，现阶段没有仍在有效期内的通用消费券政策支持。此前虽有“泉城购”等消费促进相关通知提及餐饮消费券，但具体金额、申领流程和使用规则尚未明确披露。建议关注济南市商务局或市政府官方渠道发布的最新公告，以获取后续是否重启或推出新的消费补贴活动信息。",错误,"优化后金额错误: 期望75元, 实际20元",10.849249,success,
42,市级零售餐饮,JN_RETAIL_CATERING_2025,济南市2025年餐饮消费券活动，每个用户在每批次中能领取几张消费券？,济南市餐饮消费券每批次每人最多可以领取几张？如何判断是否为同一用户？,每批次限领1张。同一账号、手机、身份证、设备、银行卡或支付方式任一相同均视为同一用户,"根据现有信息，济南市在2025年曾开展过零售和餐饮消费券发放活动，其中“市级2025年零售餐饮消费券发放活动”于2025年7月19日至11月15日期间实施，通过抖音APP平台发放，面值为“满100减20元”。该活动目前已超过有效期，截至当前时间2025年12月18日已失效，不再处于实施阶段。

关于每批次每位用户可领取的消费券数量、具体申领流程及所需材料等细节，现有信息中尚未明确说明。虽然有多项政策提及促进消费和餐饮行业发展，如“泉城购”消费券活动和“泉城消费提升行动方案”，但均未提供具体的领取张数限制和操作细则。建议关注济南市商务局或市政府官方渠道未来是否推出新一期消费券活动，并以最新公告为准获取准确的申领规则和参与方式。","根据2025年济南市零售、餐饮消费券发放活动的相关安排，市级餐饮消费券在有效期内每批次每人最多可领取1张，面额为“满100减20元”，通过抖音APP平台发放。消费券的领取和使用以实名账号为准，系统通过用户绑定的手机号、身份证信息及设备标识进行身份核验，同一身份信息、手机号或终端设备视为同一用户，防止重复冒领。

该消费券活动原定于2025年7月19日至11月15日期间实施，当前时间为2025年12月18日，活动已超过有效期，属于已失效的历史活动。因此，目前无法申领或使用该批次消费券。关于后续是否重启或推出新一批次，尚未有明确通知，具体以济南市商务局或市政府官方公告为准。",错误,优化后关键词覆盖率低 (0%),14.513068,success,
43,市级零售餐饮,JN_RETAIL_CATERING_2025,济南市2025年零售餐饮消费券活动，用户咨询电话是多少？服务时间是什么时候？,济南市零售餐饮消费券活动的客服电话号码是多少？什么时间可以拨打咨询？,客服电话950525，服务时间09:00-23:00，拨打后需选择'到店就餐/美食团购->其他',"根据目前信息，济南市计划在2025年开展“泉城购”零售、餐饮消费券发放活动，并纳入“2025泉城消费提升行动方案”的整体安排中，相关政策文件已由市政府印发，当前状态为有效。该活动由济南市商务局牵头组织，旨在促进本地零售和餐饮消费市场发展，但具体的消费券发放时间、金额档位及申领流程尚未明确公布。

如需了解活动最新进展或咨询具体操作方式，建议关注济南市商务局官方公告或拨打12345市民服务热线进行咨询。该热线提供全天候服务，可协助转接相关部门或提供最新政策解读。由于当前时间已接近2025年底，若年内仍有消费券发放安排，预计相关信息将通过“济南政府网”及主流媒体平台及时发布，请留意后续通知。","根据您提供的信息，济南市2025年零售餐饮消费券发放活动已于2025年11月15日结束，当前时间为2025年12月18日，该活动现已失效，不再处于实施阶段。此次活动通过抖音APP发放，补贴标准为满100减20元，主要面向济南市范围内的零售和餐饮消费场景。

由于活动已截止，目前无法进行申领或咨询相关发放事宜。结构化数据中未提供该活动的客服电话号码及具体服务时间，也未明确其他申请材料与审核流程细节。如需了解历史活动详情，建议关注济南市商务局或济南市政府门户网站发布的官方公告获取进一步信息。后续如有新的消费券发放计划，通常会通过官方渠道另行通知。",错误,优化后关键词覆盖率低 (0%),12.564022,success,
