id,question,expected_answer,category,campaign_id,gpt4_answer,gpt4_time,gpt4_status,gpt4_knowledge_used,gpt4_evaluation,gpt4_reason,gpt4_error
1,在济南买空调能享受以旧换新补贴吗？,可以。济南市空调属于家电以旧换新补贴范围，包括家用中央空调和风管机,市级家电,JN_APPLIANCE_2025,"可以。  
济南市的空调属于“市级2025年家电以旧换新政策活动”（JN_APPLIANCE_2025），补贴标准如下：  
- 补贴比例：销售发票价税合计金额的15%，若新空调为1级能效再额外加5%，合计最高20%。  
- 补贴上限：每类家电（含空调）最高2000元；同一家庭空调最多可补3台。  
- 购买时间：2025-04-01 至 2025-09-30（两轮均已结束，活动状态为“completed”）。  
- 申领平台：泉城购APP。",6.236328125,success,True,错误,匹配度低(17%),
2,购买一台价值8000元的一级能效空调，能获得多少济南市家电补贴？,1600元。基础补贴15%（1200元）+ 一级能效额外5%（400元）= 1600元,市级家电,JN_APPLIANCE_2025,"**补贴金额：1600元**  
- **计算依据**：济南市家电补贴（JN_APPLIANCE_2025）对一级能效空调补贴率为20%（基础15%+一级额外5%），上限2000元。  
- **实际金额**：8000元×20%=1600元（未超上限）。  
- **时间**：活动已结束（2025年9月30日截止）。",3.9251725673675537,success,True,错误,匹配度低(30%),
3,济南市家电补贴每类产品最多可以购买几件？空调有什么特殊规定？,每类产品限购1件，但空调最多可购买3台,市级家电,JN_APPLIANCE_2025,"济南市家电补贴（市级活动 JN_APPLIANCE_2025）规定：  
- 每类产品限购 **1件**；  
- **空调可额外多购2件，最多3件**。",2.5584607124328613,success,True,正确,匹配度75%,
4,在济南买冰箱补贴在哪里申请？,泉城购APP,市级家电,JN_APPLIANCE_2025,"在济南买冰箱，可通过以下两个渠道申请补贴，二选一即可：

1. **泉城购APP（市级）**  
   - 补贴标准：发票价税合计的15%，若为1级能效再额外加5%，单件最高2000元。  
   - 时间：2025年4月1日-9月30日（两期均已结束，活动已完结）。  

2. **山东政务服务网（省级）**  
   - 补贴标准：与市级相同，15%（1级能效+5%），单件最高2000元。  
   - 时间：2025年4月1日-9月30日（两期均已结束，活动已完结）。  

**结论**：目前冰箱补贴活动已结束，2025年暂无新批次。",6.647630214691162,success,True,部分正确,匹配度50%,
5,济南市家电补贴的单件补贴上限是多少？,2000元,市级家电,JN_APPLIANCE_2025,济南市家电补贴的单件补贴上限为 **2000元**。,1.5976991653442383,success,True,部分正确,匹配度50%,
6,济南市2025年家电以旧换新补贴活动，购买电视机和洗衣机可以一起申请补贴吗？每类限购几件？,可以。每类产品限购1件，电视机和洗衣机属于不同类别，可以分别申请补贴,市级家电,JN_APPLIANCE_2025,"可以一起申请。  
济南市2025年家电以旧换新补贴（JN_APPLIANCE_2025）规定：  
- 电视机、洗衣机均属于补贴品类，可同时申请。  
- 每类产品限购1件，空调最多可购3件。",2.9030909538269043,success,True,部分正确,匹配度62%,
7,山东省买热水器有补贴吗？,有。热水器（含燃气壁挂炉热水器）属于山东省家电以旧换新补贴范围,省级家电,SD_APPLIANCE_2025,"有补贴。  
山东省2025年家电以旧换新政策（SD_APPLIANCE_2025）把“热水器（含燃气壁挂炉热水器）”列入补贴范围，补贴标准如下：  
- 补贴比例：销售发票价税合计金额的15%，若为1级能效再额外加5%（合计20%）。  
- 单件补贴上限：2000元。  
- 时间：购买须在2025-04-01至2025-09-30（两轮均已结束），申请截止2025-10-05。",4.8337249755859375,success,True,错误,匹配度低(33%),
8,山东省2025年家电以旧换新实施方案，购买油烟机的补贴在哪个平台申领？,在山东政务服务网申领,省级家电,SD_APPLIANCE_2025,"山东省2025年家电以旧换新政策中，购买油烟机属于补贴范围，补贴标准为发票价税合计金额的15%（一级能效再额外加5%），单件最高补贴2000元。  
申领平台：  
- **省级活动** → 山东政务服务网  
- **市级活动** → 泉城购APP  

两平台均已结束（2025年9月30日截止），补贴资金已兑付完毕。",4.221768140792847,success,True,错误,匹配度低(0%),
9,山东省买净水器还能享受补贴吗？什么时候截止？,可以。净水器补贴截止日期是2025年12月31日,省级家电,SD_APPLIANCE_2025,"可以。  
山东省2025年家电以旧换新活动（SD_APPLIANCE_2025）明确把“净水器（含家用净水机）”列入补贴范围，补贴标准为销售发票金额的15%，一级能效再额外加5%，单件补贴上限2000元。  
活动购买截止时间为2025年12月31日，目前状态已结束，但政策文件注明“净水器、洗碗机、微波炉、电饭煲至2025-12-31”，因此只要在2025年12月31日前完成购买并符合其他条件，仍可申领补贴。",4.62459135055542,success,True,正确,匹配度75%,
10,济南市家电补贴配送安装的时限要求是多少天？,15日内配送安装签收,市级家电,JN_APPLIANCE_2025,济南市家电补贴要求 **15日内完成配送安装签收**（特殊情况可延至90天，最晚2026-01-15）。,2.2643511295318604,success,True,部分正确,匹配度50%,
11,济南市家电补贴政策有连续性吗？2024年享受过补贴，2025年还能申请吗？,有连续性。政策明确2024年已享受补贴的消费者2025年可继续享受,市级家电/省级家电,JN_APPLIANCE_2025/SD_APPLIANCE_2025,"**答案：可以。**  
济南市2025年家电以旧换新政策（JN_APPLIANCE_2025）明确延续2024年政策，**2024年已享受补贴的消费者2025年可继续申请**，补贴标准不变：  
- **补贴率**：15%（能效1级额外+5%），单件上限**2000元**。  
- **产品范围**：12类家电（如冰箱、空调等），每类限1件（空调最多3件）。  
- **已结束**：活动分两轮（4-6月、7-9月），目前状态为**已完成**。",5.111286640167236,success,True,部分正确,匹配度62%,
12,济南买手机有补贴吗？,有。济南市手机购新补贴按15%计算，单件上限500元,市级数码,JN_DIGITAL_2025,"**有补贴，但活动已结束**  
济南市2025年数码以旧换新补贴（JN_DIGITAL_2025）覆盖手机，补贴标准为**最终销售价的15%**，**每部手机最高补贴500元**，每人每类产品限1次。活动分两期：  
- **第1期**：2025年4月1日-6月30日购买，7月5日前申请  
- **第2期**：2025年7月1日-9月30日购买，10月5日前申请  

目前两期均已结束（状态为""completed""），需通过**泉城购APP**申领。",5.422587156295776,success,True,部分正确,匹配度50%,
13,购买一台价值4000元的手机，能获得多少济南市数码补贴？,500元。补贴比例15%应为600元，但达到上限500元，所以实际补贴500元,市级数码,JN_DIGITAL_2025,"**补贴金额**：500元  
**政策依据**：济南市2025年数码以旧换新活动（JN_DIGITAL_2025），补贴标准为最终销售价的15%，上限500元。  
**时间**：活动已结束（2025年9月30日截止）。",2.94752836227417,success,True,错误,匹配度低(33%),
14,济南买平板电脑能享受补贴吗？,可以。平板属于济南市数码购新补贴范围,市级数码,JN_DIGITAL_2025,"可以。  
2025年济南市级（JN_DIGITAL_2025）和山东省级（SD_DIGITAL_2025）数码以旧换新活动均覆盖平板电脑，补贴标准一致：  
- **补贴比例**：最终销售价的15%  
- **上限**：500元/台  
- **数量限制**：每人每类产品限1台  
- **活动时间**：  
  – 市级：2025-04-01 至 2025-09-30（已结束）  
  – 省级：2025-04-01 至 2025-09-30（已结束）  

因此，若购买时间在2025年4-9月且通过官方渠道完成以旧换新，已可申领最高500元补贴；当前（2025-11-05）活动已结束，无法再申请。",6.509287595748901,success,True,错误,匹配度低(25%),
15,济南市数码补贴的单件上限是多少？,500元,市级数码,JN_DIGITAL_2025,济南市数码补贴的单件上限为 **500元**。,1.608849048614502,success,True,部分正确,匹配度50%,
16,山东省买智能手表有补贴吗？,有。智能手表（手环）属于山东省数码购新补贴范围，按15%计算，单件上限500元,省级数码,SD_DIGITAL_2025,"有补贴。  
山东省2025年“省级数码以旧换新”活动（SD_DIGITAL_2025）对智能手表（含手环）给予15%补贴，单件最高500元，活动已于2025-09-30结束。",2.757932186126709,success,True,部分正确,匹配度50%,
17,山东省买手机的补贴在哪里申请？,在品牌官方商城或授权电商平台申领,省级数码,SD_DIGITAL_2025,"山东省买手机的补贴申请渠道：  
1. **省级活动（SD_DIGITAL_2025）**：通过 **品牌官方商城或授权电商平台**（如华为商城、京东等）申请。  
   - **补贴标准**：按最终销售价的15%，单件上限500元，每人每类限1件。  
   - **已结束**：购买期至2025年9月30日，目前状态为“completed”。  

2. **市级活动（JN_DIGITAL_2025）**：通过 **泉城购APP** 或 **山东政务服务网** 申请。  
   - **补贴标准**：同上（15%，上限500元）。  
   - **已结束**：购买期至2025年9月30日，目前状态为“completed”。  

**结论**：两项手机补贴活动均已结束，2025年11月后山东省暂无新手机补贴政策。",6.940282106399536,success,True,错误,匹配度低(0%),
18,济南市数码产品补贴有激活要求吗？手机和平板如何激活？,有激活要求。需现场激活：手机插入SIM卡或平板连接WiFi,市级数码/省级数码,JN_DIGITAL_2025/SD_DIGITAL_2025,"有激活要求。  
手机、平板需现场插入SIM卡或连接Wi-Fi完成激活，并拍摄上传SN码、IMEI码等信息。",2.2494802474975586,success,True,错误,匹配度低(12%),
19,济南市智能手表和手环的激活方式是什么？,现场与适配应用程序（APP）连接激活,市级数码/省级数码,JN_DIGITAL_2025/SD_DIGITAL_2025,"济南市智能手表（手环）的激活方式  
1. 现场激活：必须现场与适配应用程序连接。  
2. 信息上传：拍摄并上传 SN 码、IMEI 码等。  
3. 隐私保护：确保消费者个人信息安全。",3.289684772491455,success,True,错误,匹配度低(0%),
